,game_title,game_id,steam_appid,short_description,header_image,url
2442,Of Guards And Thieves,2104,302590.0,Of Guards and Thieves is a multiplayer stealth game in which high-powered guards face off against fast and elusive thieves in a contest of wits. Outsmarting the enemy and shooting your way through to the goal are equally valid strategies.,https://steamcdn-a.akamaihd.net/steam/apps/302590/header.jpg?t=1547569079,https://store.steampowered.com/app/302590/Of_Guards_And_Thieves/
2443,Signal Ops,2697,257770.0,"Greetings Officer-Cadet o249,Are you ready to be put to the test? If deemed worthy, you will be assigned as an officer in the shadowy halls of Facility 7C. You will remotely lead a squad of operatives on daring espionage missions to plant evidence, steal secrets, assassinate targets, and perform sabotage for the glory of the Dark Father.",https://steamcdn-a.akamaihd.net/steam/apps/257770/header.jpg?t=1503355488,https://store.steampowered.com/app/257770/Signal_Ops/
2445,CRYPTARK,466,344740.0,"Cryptark is a 2D sci-fi shooter where you take on the role of a heavily armed privateer seeking to earn government contracts by boarding deadly alien space-hulks. It's up to you to strategize a plan of attack, pick an equipment loadout, and destroy the central core to be victorious.",https://steamcdn-a.akamaihd.net/steam/apps/344740/header.jpg?t=1497969638,https://store.steampowered.com/app/344740/CRYPTARK/
2447,Particulars,2191,259470.0,"Particulars is a game with a unique combination of arcade-action and puzzle gameplay, set in the mysterious world of subatomic particles.",https://steamcdn-a.akamaihd.net/steam/apps/259470/header.jpg?t=1527494739,https://store.steampowered.com/app/259470/Particulars/
2450,ROCKETSROCKETSROCKETS,2362,289760.0,"ROCKETS fire ROCKETS at ROCKETS in this action-arcade, arena-combat, gorgeous festival-of-fireworks! It's dogfighting meets figure-skating in space with local multiplayer and single-player fast-paced action modes plus a ZEN MODE where ROCKETS learn to LOVE.",https://steamcdn-a.akamaihd.net/steam/apps/289760/header.jpg?t=1542309589,https://store.steampowered.com/app/289760/ROCKETSROCKETSROCKETS/
2452,Stonehearth,2871,253250.0,"Pioneer a living world full of warmth, heroism, and mystery. Help a small group of settlers build a home for themselves in a forgotten land. Establish a food supply, build shelter, defend your people, monitor their moods, and find a way to grow and expand, facing challenges at every step.",https://steamcdn-a.akamaihd.net/steam/apps/253250/header.jpg?t=1545243901,https://store.steampowered.com/app/253250/Stonehearth/
2456,Kingdoms Rise,1680,248630.0,Kingdoms Rise is a multiplayer fantasy game focused on palpable sword combat. Select your choice of weapons and abilities and step into a battlefield where skill alone will decide your fate.,https://steamcdn-a.akamaihd.net/steam/apps/248630/header.jpg?t=1499432195,https://store.steampowered.com/app/248630/Kingdoms_Rise/
2459,City Life 2008,582,4460.0,"Construct the city of the 21st Century with City Life! City Life 2008 Edition is a next-generation City Builder. Its 3D game engine provides a level of detail and animation unprecedented in the City Builder genre, with total freedom of construction.",https://steamcdn-a.akamaihd.net/steam/apps/4460/header.jpg?t=1447351481,https://store.steampowered.com/app/4460/City_Life_2008/
2460,Rising World,2474,324080.0,"Rising World is a voxel based open-world sandbox game, featuring a procedurally generated world, playable in single and multi-player.",https://steamcdn-a.akamaihd.net/steam/apps/324080/header.jpg?t=1552513848,https://store.steampowered.com/app/324080/Rising_World/
2462,FlatOut,1217,6220.0,"FlatOut is adrenaline-filled muscle car racing game packed with explosive physics, spectacular effects and graphics, innovative game play mechanics and good old fun! Eight players or AI cars on track for close pack racing Single player Career, Quick race and Time trial modes Multiplayer mayhem with up to 8 players 16 different fully...",https://steamcdn-a.akamaihd.net/steam/apps/6220/header.jpg?t=1525725940,https://store.steampowered.com/app/6220/FlatOut/
2463,Silent Hill Homecoming,2698,19000.0,"In Silent Hill Homecoming, Alex Shepherd has returned to his hometown of Shepherd's Glen to investigate the sudden disappearance of his brother. From Shepherd's Glen to the foggy streets of Silent Hill, Alex will face the darkest of horrors while struggling with his own grip on reality.",https://steamcdn-a.akamaihd.net/steam/apps/19000/header.jpg?t=1547664274,https://store.steampowered.com/app/19000/Silent_Hill_Homecoming/
2465,Mutant Mudds Deluxe,1980,247370.0,"Love pixels? Fond of platformers? Is there a special place in your heart for the 8-bit and 16-bit era? Want to have fun? Yes!? Well, you’ve come to the right place, my friend. Mutant Mudds Deluxe is a “12-bit” action platformer full of pixels and platforming fun!",https://steamcdn-a.akamaihd.net/steam/apps/247370/header.jpg?t=1529538007,https://store.steampowered.com/app/247370/Mutant_Mudds_Deluxe/
2467,Bad Hotel,282,231720.0,IGF FINALIST 2013 BAFTA WINNER 2012 TIGA AWARD FINALIST 2012 1. Build Hotel. 2. Make Music. 3. Stop Tadstock. An insane hybrid of a tower defense game and a procedural music toy with tons of bullets (and healthy number of Wu-Tang references and credit crunch satire). The hit game for iOS now available on Windows and Mac!,https://steamcdn-a.akamaihd.net/steam/apps/231720/header.jpg?t=1447357410,https://store.steampowered.com/app/231720/Bad_Hotel/
2468,Super Sanctum TD,2925,235250.0,"Super Sanctum TD is a retro-styled Tower Defense game that focuses on strategy, customization and replayability. Build advanced mazes and construct powerful towers to prevent alien hordes from reaching the Core!",https://steamcdn-a.akamaihd.net/steam/apps/235250/header.jpg?t=1510129510,https://store.steampowered.com/app/235250/Super_Sanctum_TD/
2470,Space Farmers,2774,271570.0,"Grab a friend, grab a gadget, grab a gun and get ready for the most fun you'll ever have in a co-op game!",https://steamcdn-a.akamaihd.net/steam/apps/271570/header.jpg?t=1447359976,https://store.steampowered.com/app/271570/Space_Farmers/
2479,Foul Play,1253,244810.0,Play as the daemon-hunter Baron Dashforth in a side-scrolling co-op brawler set entirely on the grand spectacle of a theatre stage that rewards performance over pummeling. Perform shattering takedowns and reversals!,https://steamcdn-a.akamaihd.net/steam/apps/244810/header.jpg?t=1468917955,https://store.steampowered.com/app/244810/Foul_Play/
2480,War of the Human Tanks,3419,263400.0,"War of the Human Tanks is a story driven strategy game with a gameplay reminiscent of Battleship and Chess, featuring a story of war, loyalty, sacrifice and human shaped tanks.",https://steamcdn-a.akamaihd.net/steam/apps/263400/header.jpg?t=1501043293,https://store.steampowered.com/app/263400/War_of_the_Human_Tanks/
2482,Final Exam,1198,233190.0,"Jump into the frenzied action and the whacky humor of a pure 2.5D side-scroller! While they were going to their old high school for what was supposed to be the party of their life, four long-time friends end up in a ghost town full of monstrous creatures.",https://steamcdn-a.akamaihd.net/steam/apps/233190/header.jpg?t=1447357500,https://store.steampowered.com/app/233190/Final_Exam/
2484,Slip,2730,291070.0,"Slip is a fast paced side scrolling platformer featuring a two color, swap mechanic. Using your two colors flee from Steve and his wretched purple beam through a multitude of obstacles and enemies. Slip combines the elegant simplicity of platforming with a polarity mechanic to create an easy to learn, but extremely difficult to master...",https://steamcdn-a.akamaihd.net/steam/apps/291070/header.jpg?t=1447361061,https://store.steampowered.com/app/291070/Slip/
2488,Shadowgate,2640,294440.0,"Thrust into the role of &quot;The Seed of Prophecy,&quot; players travel deep into the living castle, in hopes of defeating the evil that dwells within – the dreaded Warlock Lord.",https://steamcdn-a.akamaihd.net/steam/apps/294440/header.jpg?t=1531144649,https://store.steampowered.com/app/294440/Shadowgate/
2490,Tobe's Vertical Adventure,3226,105700.0,"Two unique characters and a total of 4 islands and 16 levels to explore, Tobe's Vertical Adventure shall bring you back to the 16-bit era.",https://steamcdn-a.akamaihd.net/steam/apps/105700/header.jpg?t=1447354389,https://store.steampowered.com/app/105700/Tobes_Vertical_Adventure/
2491,planetarian ~the reverie of a little planet~,3589,316720.0,"In time for the 10th anniversary since its original release in Japan, planetarian is an engaging and emotional visual novel from legendary game studio, Key. A sub-brand of VisualArts, Key are also famed for creating Kanon, AIR, CLANNAD, Little Busters!, Rewrite, and Angel Beats!",https://steamcdn-a.akamaihd.net/steam/apps/316720/header.jpg?t=1545703183,https://store.steampowered.com/app/316720/planetarian_the_reverie_of_a_little_planet/
2492,Chip's Challenge 2,558,348300.0,"Chip is back and this time he's teamed up with Melinda to try and solve even more puzzles built from a combination of new and old monster, hazards and game elements created by Vladimir Gerajkee The Puzzle Master.",https://steamcdn-a.akamaihd.net/steam/apps/348300/header.jpg?t=1524940177,https://store.steampowered.com/app/348300/Chips_Challenge_2/
2493,R.B.I. Baseball 15,2348,329610.0,The legendary Major League Baseball franchise returns to the diamond. Make History.,https://steamcdn-a.akamaihd.net/steam/apps/329610/header.jpg?t=1458656979,https://store.steampowered.com/app/329610/RBI_Baseball_15/
2494,Worms Crazy Golf,3509,70620.0,"Worms™ Crazy Golf is a hilarious mixture of the explosive action of Worms™ and the puzzle-based challenges of crazy golf! All of the trademark Worms™ humour, comic violence, and cartoon visuals are present, combined with addictive yet accessible golf gameplay.",https://steamcdn-a.akamaihd.net/steam/apps/70620/header.jpg?t=1448452655,https://store.steampowered.com/app/70620/Worms_Crazy_Golf/
2495,Lovely Planet,1791,298600.0,A First Person Shooter Gun Ballet set in a cutesy abstract world. Jump and shoot your way through five worlds full of treacherous enemies with your trusty semi-automatic!,https://steamcdn-a.akamaihd.net/steam/apps/298600/header.jpg?t=1548124173,https://store.steampowered.com/app/298600/Lovely_Planet/
2509,Lethal League,1752,261180.0,"Lethal League is a competitive projectile fighting game where you have to hit an anti-gravity ball into the face of your opponent to win. The ball speeds up with every strike, up to explosively extreme velocities. Play intense local matches with friends and foes, challenge yourself in the singleplayer mode or battle it out online.",https://steamcdn-a.akamaihd.net/steam/apps/261180/header.jpg?t=1539615005,https://store.steampowered.com/app/261180/Lethal_League/
2513,Planetbase,2240,403190.0,"Guide a group of space settlers trying to establish a base on a remote planet. Grow food, collect energy, mine resources, survive disasters and build a self-sufficient colony in a harsh and unforgiving environment.",https://steamcdn-a.akamaihd.net/steam/apps/403190/header.jpg?t=1548096955,https://store.steampowered.com/app/403190/Planetbase/
2518,Age of Wonders Shadow Magic,99,61520.0,"Age of Wonders: Shadow Magic is the third entry in the award winning fantasy strategy series. This fan-favorite enhances the series' praised fusion of empire building, role-playing and tactical combat with the eerie Shadow World and battle with races never before seen, across new and diverse landscapes.",https://steamcdn-a.akamaihd.net/steam/apps/61520/header.jpg?t=1504268411,https://store.steampowered.com/app/61520/Age_of_Wonders_Shadow_Magic/
2519,Hacknet,1441,365450.0,"Hacknet is an immersive, terminal-based hacking simulator for PC. Dive down a rabbit hoIe as you follow the instructions of a recently deceased hacker, whose death may not have been the accident the media reports.",https://steamcdn-a.akamaihd.net/steam/apps/365450/header.jpg?t=1548475150,https://store.steampowered.com/app/365450/Hacknet/
2520,Colonial Conquest,616,341030.0,Colonial Conquest is a conquest simulation set in the Victorian age of warfare and expansion of the late 1800's and early 1900's.,https://steamcdn-a.akamaihd.net/steam/apps/341030/header.jpg?t=1538669050,https://store.steampowered.com/app/341030/Colonial_Conquest/
2523,Hospital Tycoon,1526,11590.0,"Develop your own hospital drama and manipulate the results to your best advantage! In charge of a rapidly expanding hospital, your job is to cure the patients with your army of doctors and nurses while successfully managing the facilities and taking care of everyone's needs.",https://steamcdn-a.akamaihd.net/steam/apps/11590/header.jpg?t=1447351434,https://store.steampowered.com/app/11590/Hospital_Tycoon/
2525,Crazy Taxi,684,71230.0,"Hey hey, come on over and have some fun with Crrrrrazy Taxi! Barrel through traffic packed streets, hurdle off parking garages, and Crazy Combo your way to Crazy Money in a wild frantic race to scare up the most fares. In Crazy Taxi, time is money, and only the Craziest Cabbies come out victorious.",https://steamcdn-a.akamaihd.net/steam/apps/71230/header.jpg?t=1521806866,https://store.steampowered.com/app/71230/Crazy_Taxi/
2526,Software Inc.,2748,362620.0,"Construct and design buildings for optimal working conditions. Hire people to design and release software, so you can defeat the simulated competition and take over their businesses. Manage and educate your employees to make sure they are skilled and satisfied with their job.",https://steamcdn-a.akamaihd.net/steam/apps/362620/header.jpg?t=1506156842,https://store.steampowered.com/app/362620/Software_Inc/
2533,Rise of Flight United,2463,244050.0,"Pilot legendary aircraft of the early years of aviation, French Spad 13, German Albatros D.Va and Russian built Nieuport 17, in the free-to-play Rise of Flight United! This WWI aviation sim that has something for every flight-sim fan, from single player skirmish and career to multiplayer dogfights, but one thing is for certain, the...",https://steamcdn-a.akamaihd.net/steam/apps/244050/header.jpg?t=1447358169,https://store.steampowered.com/app/244050/Rise_of_Flight_United/
2535,SEGA Bass Fishing,2534,71240.0,"Explore the exciting sport of Bass fishing! Based on the Dreamcast hit, motor out to eight different fishing locations to catch the biggest and baddest Bass possible! Choose between fourteen different lures, and compete in four tournaments. Start off as an amateur, and work your way up to the pros in the Masters Classic tournament.",https://steamcdn-a.akamaihd.net/steam/apps/71240/header.jpg?t=1522061802,https://store.steampowered.com/app/71240/SEGA_Bass_Fishing/
2536,Scoregasm,2598,202410.0,"Scoregasm is an incredible, variety rich shooter with a non-linear, branching paths style galaxy to explore. It's pretty, accessible, fun and really rather good! Blast your way through the galaxy's many varied levels and use your skills to change your route, find new levels, new enemies, unlock bonus challenge stages and fight the bosses...",https://steamcdn-a.akamaihd.net/steam/apps/202410/header.jpg?t=1447354931,https://store.steampowered.com/app/202410/Scoregasm/
2537,Viridi,3383,375950.0,"Nurture a small pot of succulents that grow in real time. Viridi is a safe haven, a place you can return to for a moment of peace and quiet whenever you need it.",https://steamcdn-a.akamaihd.net/steam/apps/375950/header.jpg?t=1538670885,https://store.steampowered.com/app/375950/Viridi/
2540,You Must Build A Boat,3543,290890.0,"You Must Build A Boat is the sequel to the award winning &quot;10000000&quot;. Travel the world, run procedurally generated dungeons finding artifacts, capturing monsters and recruiting crew for your...",https://steamcdn-a.akamaihd.net/steam/apps/290890/header.jpg?t=1555588352,https://store.steampowered.com/app/290890/You_Must_Build_A_Boat/
2541,Triple Town,3301,209950.0,"Triple Town is an award-winning original puzzle game in which you try to grow the greatest possible city. The larger the city you build, the more points you score. You build your city by matching three or more game-pieces: combine three grasses to make a bush, three bushes to make a tree...",https://steamcdn-a.akamaihd.net/steam/apps/209950/header.jpg?t=1527059443,https://store.steampowered.com/app/209950/Triple_Town/
2543,The Albino Hunter,3019,355520.0,Kalymn Nox is the Albino Hunter; even his pretentious and slightly racist title can keep him from waking up broke after a night of drinking.,https://steamcdn-a.akamaihd.net/steam/apps/355520/header.jpg?t=1488527777,https://store.steampowered.com/app/355520/The_Albino_Hunter/
2544,Antisquad,186,268200.0,"Widely known in small circles as AntiSquad, they are a military tactical response unit. These hardened military professionals, tired of bureaucracy, politics and serving the armed forces, have established a private paramilitary formation located in south United States.",https://steamcdn-a.akamaihd.net/steam/apps/268200/header.jpg?t=1447359717,https://store.steampowered.com/app/268200/Antisquad/
2545,Gravity Badgers,1378,267060.0,"Step into the space suit of valiant gravity badger Captain T Bayback as he ventures into the deadly depths of deep space to save his friends, family and the universe itself from the threat of the deadly Evil Honey Badgers, aka the Hellsett.",https://steamcdn-a.akamaihd.net/steam/apps/267060/header.jpg?t=1447359624,https://store.steampowered.com/app/267060/Gravity_Badgers/
2548,Bardbarian,290,269490.0,"You play as Brad the barbarian, who is awoken to the sounds of his town under siege. Today is different though; Brad has grown tired of fighting all the time. The usual grind for XP has grown dull, and he has decided to pursue his dreams of making music instead of shedding blood.",https://steamcdn-a.akamaihd.net/steam/apps/269490/header.jpg?t=1469579820,https://store.steampowered.com/app/269490/Bardbarian/
2550,The Lady,3104,341060.0,"&quot;The Lady&quot; is a 2D Surreal Puzzle Horror, featuring hand drawn character art, stop motion animation, and a hauntingly abrasive Noisecore Soundtrack. The game features the most unique female protagonist to ever exist in a video game.",https://steamcdn-a.akamaihd.net/steam/apps/341060/header.jpg?t=1530646955,https://store.steampowered.com/app/341060/The_Lady/
2553,Boid,407,314010.0,Boid is real-time strategy at its most primal - your only resource is your army. No funds to manage or infrastructures to build. It’s a kill or be killed battle of rapid decisions to dominate the gene pool.,https://steamcdn-a.akamaihd.net/steam/apps/314010/header.jpg?t=1478594483,https://store.steampowered.com/app/314010/Boid/
2557,The Adventures of Tree,3017,354860.0,"The Adventures of Tree takes you on an open ended adventure to save your fellow species from the evil invaders! Explore the vast open world to discover it's many secrets! With over 30+ hours of gameplay, The Adventures of Tree, is not something you'll want to miss out on!",https://steamcdn-a.akamaihd.net/steam/apps/354860/header.jpg?t=1542676979,https://store.steampowered.com/app/354860/The_Adventures_of_Tree/
2559,Ichi,1555,300300.0,"Ichi is an easy to play but challenging one button puzzle game. Don't be deceived by the game simplistic look, it’s a braintwister for sure! Collect golden rings by rotating objects, using teleporters, breaking blocks and more.",https://steamcdn-a.akamaihd.net/steam/apps/300300/header.jpg?t=1447361780,https://store.steampowered.com/app/300300/Ichi/
2560,Borealis,418,307170.0,"Weave through missiles to generated music, and let the world flow around you.",https://steamcdn-a.akamaihd.net/steam/apps/307170/header.jpg?t=1447362265,https://store.steampowered.com/app/307170/Borealis/
2561,Despair,843,368990.0,"The main character wakes up in a tunnel of the subway and tries to find out that happened to it and other passengers of the train. To understand that after all it happened to the gone passengers, the player should investigate strange catacombs being deeply underground.",https://steamcdn-a.akamaihd.net/steam/apps/368990/header.jpg?t=1447374041,https://store.steampowered.com/app/368990/Despair/
2563,Starlaxis Supernova Edition,2853,336200.0,"Prepare yourself for mind-blowing puzzle action in new dimensions! You think Starlaxis is just a small puzzle game? THINK AGAIN! Master breath-taking challenges, win seemingly impossible boss fights, complete multiple missions goals, overcome dozens of enemies, and last but not least: Save EARTH!",https://steamcdn-a.akamaihd.net/steam/apps/336200/header.jpg?t=1554661593,https://store.steampowered.com/app/336200/Starlaxis_Supernova_Edition/
2564,3 Stars of Destiny,17,278530.0,"In this extensive old-school RPG, explore countless unique places, defeat tons of enemies and complete richly developed quests. The game features addictive gameplay and an adventure worth about 40H of playtime.",https://steamcdn-a.akamaihd.net/steam/apps/278530/header.jpg?t=1447360368,https://store.steampowered.com/app/278530/3_Stars_of_Destiny/
2565,AXYOS,57,318100.0,AXYOS is an experimental shooter with some MOBA gameplay elements. Upgrade yourself in the game session to lead your team to win!,https://steamcdn-a.akamaihd.net/steam/apps/318100/header.jpg?t=1533132420,https://store.steampowered.com/app/318100/AXYOS/
2566,The Undying Plague,3167,349440.0,"The Undying Plague is a top down shooter where your task is to fend off waves of attacking enemies and survive as long as possible. At your disposal will get a few weapons that we can improve for the money earned on the battlefield. Enter a world of pain, suffering and bloodthirsty zombies. Can you stop the plague?",https://steamcdn-a.akamaihd.net/steam/apps/349440/header.jpg?t=1472550467,https://store.steampowered.com/app/349440/The_Undying_Plague/
2567,Teddy Floppy Ear - Mountain Adventure,2997,340300.0,"Teddy Floppy Ear is a main character of series of adventure games for the children, based on the on famous Polish cartoon. Send your kid onto an unforgettable journey with the world’s most charming bear!",https://steamcdn-a.akamaihd.net/steam/apps/340300/header.jpg?t=1447366551,https://store.steampowered.com/app/340300/Teddy_Floppy_Ear__Mountain_Adventure/
2569,Dracula's Legacy,930,396790.0,"Haunted by frightening dreams about her forgotten past, Isabella, along with her fiancé, were able to decipher one clue from the depths of her memory that leads them to an old ghost town.",https://steamcdn-a.akamaihd.net/steam/apps/396790/header.jpg?t=1482755092,https://store.steampowered.com/app/396790/Draculas_Legacy/
2571,Eaten Alive,1013,403560.0,"Eaten Alive is a Point and Click, Adventure, Horror game with Puzzle and Mystery game-play elements. Take control of 'Mia' six years after the apocalypse began, the dead don't stay dead and the earth is in a permanent state of darkness. This game contains adult themes.",https://steamcdn-a.akamaihd.net/steam/apps/403560/header.jpg?t=1447378097,https://store.steampowered.com/app/403560/Eaten_Alive/
2573,Teddy Floppy Ear - Kayaking,2996,340310.0,"Based on a famous Polish cartoon, Teddy Floppy Ear stands out as a great entertainment for children. Prepared by an experienced team, Teddy Floppy Ear – Kayaking mixes fun adventure game with a healthy dose of learning, perfect for young minds. Send your kid onto an unforgettable journey with the world’s most charming bear.",https://steamcdn-a.akamaihd.net/steam/apps/340310/header.jpg?t=1447366553,https://store.steampowered.com/app/340310/Teddy_Floppy_Ear__Kayaking/
2582,Crazy Plant Shop,683,292200.0,"In Crazy Plant Shop, players learn about genes and inheritance by breeding zany plants! Special requests from mysterious customers require players to understand dominant and recessive traits and how genetic traits get passed through generations. Use profits to acquire new breeds, purchase shop upgrades, and acquire new customers!",https://steamcdn-a.akamaihd.net/steam/apps/292200/header.jpg?t=1447361148,https://store.steampowered.com/app/292200/Crazy_Plant_Shop/
2587,Phoenix Force,2213,332480.0,"Phoenix Force is a shoot 'em up about a group of phoenixes that fight big and strong mythological creatures in over 100 levels. It takes the boss battle as the foundation for every level, creating engaging and challenging fast battles that will require your best strategies and reflexes.",https://steamcdn-a.akamaihd.net/steam/apps/332480/header.jpg?t=1538177479,https://store.steampowered.com/app/332480/Phoenix_Force/
2594,The Nightmare Cooperative,3126,310070.0,"The Nightmare Cooperative is a fiendishly difficult turnbased roguelike featuring an array of characters, each with different powers to help you destroy monsters, escape levels, and collect gold.",https://steamcdn-a.akamaihd.net/steam/apps/310070/header.jpg?t=1555064100,https://store.steampowered.com/app/310070/The_Nightmare_Cooperative/
2595,Final Dusk,1197,337420.0,"Vampire princess Mina needs your help! A wicked curse has fallen on the people of the Kingdom of Vempire - everyone has turned to stone! In order to reverse the curse, Mina has to travel to the evil witch's tower and defeat her, but she can't do it alone!",https://steamcdn-a.akamaihd.net/steam/apps/337420/header.jpg?t=1447365811,https://store.steampowered.com/app/337420/Final_Dusk/
2596,Blob From Space,376,315070.0,Blob From Space is a 2d side scroller game. Difficulty will change when progressing. Try to survive many challenges with only 3 continues! Let the rage begin!,https://steamcdn-a.akamaihd.net/steam/apps/315070/header.jpg?t=1453370369,https://store.steampowered.com/app/315070/Blob_From_Space/
2597,Z,3551,275530.0,"“Z”, the classic Real Time Strategy Game by the Bitmap Brothers. Fans of this classic strategy title are in for a real treat. Everything is in here from the terrific comedy cut scenes to the frantic game play making this is the definitive version of Z.",https://steamcdn-a.akamaihd.net/steam/apps/275530/header.jpg?t=1447582824,https://store.steampowered.com/app/275530/Z/
2598,500 Years Act 1,25,357200.0,"500 Years is an old school episodic space opera with non-traditional combat controls. The game is an adventure where you explore different star systems and meet the inhabitants, some friendly, and some not so friendly.",https://steamcdn-a.akamaihd.net/steam/apps/357200/header.jpg?t=1447370994,https://store.steampowered.com/app/357200/500_Years_Act_1/
2599,CAFE 0 ~The Drowned Mermaid~,463,335660.0,What will you do if you can redo the last 7 days before you died? Try this unique supernatural mystery visual novel!,https://steamcdn-a.akamaihd.net/steam/apps/335660/header.jpg?t=1547578673,https://store.steampowered.com/app/335660/CAFE_0_The_Drowned_Mermaid/
2600,Vintage Year,3381,333760.0,"Explore the dark underbelly of a massive wine cellar contested with cult bandits, traps, and paranormal bosses. Select from an array of different characters with unique abilities, and opportunities for customization.",https://steamcdn-a.akamaihd.net/steam/apps/333760/header.jpg?t=1447365144,https://store.steampowered.com/app/333760/Vintage_Year/
2601,Obludia,2093,314290.0,Fight your way through 50 levels full of thrilling action with hordes of challenging enemies and tough bosses! Obludia is an old-school arcade arena action inspired by classics such as Robotron or Smash-TV with RPG elements.,https://steamcdn-a.akamaihd.net/steam/apps/314290/header.jpg?t=1547451661,https://store.steampowered.com/app/314290/Obludia/
2602,Zombie Zoeds,3567,366890.0,Kill as many zombies as possible.,https://steamcdn-a.akamaihd.net/steam/apps/366890/header.jpg?t=1538951894,https://store.steampowered.com/app/366890/Zombie_Zoeds/
2603,Jet Gunner,1620,314250.0,"Jet Gunner is a 2D platform action indie game that's full of Nestalgia. Full of action, gunfights, bosses and explosions so if you're into the whole 8-Bit vibe you should love this. From the sound, to the graphics to the flicker, this should pay tribute to those classic hard as nails, run 'n' gun games.",https://steamcdn-a.akamaihd.net/steam/apps/314250/header.jpg?t=1447362712,https://store.steampowered.com/app/314250/Jet_Gunner/
2604,Clash of Puppets,588,325870.0,"Clash of Puppets is a 3D hack’n’slash platformer, featuring classic b-movie style.",https://steamcdn-a.akamaihd.net/steam/apps/325870/header.jpg?t=1447363907,https://store.steampowered.com/app/325870/Clash_of_Puppets/
2607,Bermuda,332,337630.0,"Trapped in an alien submarine, Edward's faith will be tested in a tale of trust and deceit. Bermuda is a visual novel mixed with open ended stealth puzzles.",https://steamcdn-a.akamaihd.net/steam/apps/337630/header.jpg?t=1447365831,https://store.steampowered.com/app/337630/Bermuda/
2609,Voxelized,3397,344040.0,Please read the Early Access info below! Alpha 0.4.,https://steamcdn-a.akamaihd.net/steam/apps/344040/header.jpg?t=1492094439,https://store.steampowered.com/app/344040/Voxelized/
2614,Make it indie!,1851,357900.0,Claw your way through the abyss of the mind and survive the horrors that stalk you as you attempt to survive seven days as... an Indie Developer.,https://steamcdn-a.akamaihd.net/steam/apps/357900/header.jpg?t=1504451402,https://store.steampowered.com/app/357900/Make_it_indie/
2616,Catmouth Island,537,336380.0,"It's a relaxed, laid-back episodic 3D point-and-click adventure game set on an island group in the middle of the pacific! Yay! Hooray!",https://steamcdn-a.akamaihd.net/steam/apps/336380/header.jpg?t=1447365662,https://store.steampowered.com/app/336380/Catmouth_Island/
2618,Morphopolis,1958,314020.0,"Morphopolis is about transformation and discovery. Morphopolis takes you on a puzzle adventure through a fantastical insect world. Starting as an aphid grub, you embark on an epic journey of metamorphosis toward your spawning ground.",https://steamcdn-a.akamaihd.net/steam/apps/314020/header.jpg?t=1492976465,https://store.steampowered.com/app/314020/Morphopolis/
2622,Survivor Squad,2940,258050.0,Survivor Squad is a Strategy Action game where you control a Squad of up to four survivors and guide them through a highly randomized world looking for supplies to aid you on your journey.,https://steamcdn-a.akamaihd.net/steam/apps/258050/header.jpg?t=1447764592,https://store.steampowered.com/app/258050/Survivor_Squad/
2623,Fat Chicken,1184,325860.0,"Fat Chicken is a REVERSE TOWER DEFENSE game where you fatten up farm animals for slaughter by pumping them full of hormones, overfeeding them and basting them with antibiotics to keep them alive so they're worth more when you turn 'em into tasty, tasty packaged meat...it's what's for dinner!",https://steamcdn-a.akamaihd.net/steam/apps/325860/header.jpg?t=1447363906,https://store.steampowered.com/app/325860/Fat_Chicken/
2626,Gold Rush! Classic,1350,308000.0,"Gold Rush! takes you back to the year 1849, when gold was discovered in California. It was certainly one of the most exciting times in American history. Gold Rush! includes the three routes tens of thousands took to the gold regions. Become Jerrod Wilson and experience each trek as you travel from New York to California.",https://steamcdn-a.akamaihd.net/steam/apps/308000/header.jpg?t=1516749315,https://store.steampowered.com/app/308000/Gold_Rush_Classic/
2628,Yury,3550,321950.0,"For those of you who cannot live without old-style hardcore platformer challenges, Yury brings the ultimate spikes-lava-monsters experience.",https://steamcdn-a.akamaihd.net/steam/apps/321950/header.jpg?t=1447363534,https://store.steampowered.com/app/321950/Yury/
2631,The Deer,3057,400240.0,&quot;The Deer&quot; is an educational inter­ac­tive expe­ri­ence for children.You'll be an ancient Deer during the Pleistocene (Ice Age) epoch and you'll discover everything about this marvelous era.Unfortunately there were no T-Rex during this age since they were already extinct millions of years before.,https://steamcdn-a.akamaihd.net/steam/apps/400240/header.jpg?t=1449909334,https://store.steampowered.com/app/400240/The_Deer/
2632,The Deer,3057,400240.0,&quot;The Deer&quot; is an educational inter­ac­tive expe­ri­ence for children.You'll be an ancient Deer during the Pleistocene (Ice Age) epoch and you'll discover everything about this marvelous era.Unfortunately there were no T-Rex during this age since they were already extinct millions of years before.,https://steamcdn-a.akamaihd.net/steam/apps/400240/header.jpg?t=1449909334,https://store.steampowered.com/app/818390/The_Deer/
2634,Little Farm,1770,15960.0,"Have a down-home good time at Little Farm, where you'll use your puzzle-solving and matching skills to help The Normans adjust to farm life and grow truck-loads of vegetables! The Normans left the city to retreat to Uncle Nate's farm&#151;but this isn't a farm of leisure!",https://steamcdn-a.akamaihd.net/steam/apps/15960/header.jpg?t=1447351342,https://store.steampowered.com/app/15960/Little_Farm/
2637,Cards and Castles,512,360730.0,"Collectible cards come to life in this tactics and CCG hybrid! Collect cards, build decks, and challenge players head to head on a Tactical Game Board. Play as Vikings, Pirates, Ninjas and more!",https://steamcdn-a.akamaihd.net/steam/apps/360730/header.jpg?t=1485535711,https://store.steampowered.com/app/360730/Cards_and_Castles/
