,game_title,game_id,steam_appid,short_description,header_image,url
32,Divekick,895,244730.0,Divekick is the world’s first two-button fighting game. It distills the essence of the fighting game genre into just two buttons with no d-pad directional movement. Includes two extra playable characters: Fencer from Nidhogg and Johnny Gat from Saints Row!,https://steamcdn-a.akamaihd.net/steam/apps/244730/header.jpg?t=1519675026,https://store.steampowered.com/app/244730/Divekick/
33,FINAL FANTASY VII,1124,39140.0,"In Midgar, a city controlled by the mega-conglomerate Shinra Inc., the No. 1 Mako Reactor has been blown up by a rebel group, AVALANCHE.AVALANCHE was secretly formed to wage a rebellion against Shinra Inc., an organisation which is absorbing Mako energy, destroying the natural resources of the planet.",https://steamcdn-a.akamaihd.net/steam/apps/39140/header.jpg?t=1549381969,https://store.steampowered.com/app/39140/FINAL_FANTASY_VII/
34,Orcs Must Die! 2,2132,201790.0,"You’ve tossed, burned and sliced them by the thousands – now orcs must die more than ever before! Grab a friend and slay orcs in untold numbers in this sequel to the 2011 AIAS Strategy Game of the Year from Robot Entertainment.",https://steamcdn-a.akamaihd.net/steam/apps/201790/header.jpg?t=1537484731,https://store.steampowered.com/app/201790/Orcs_Must_Die_2/
35,Killing Floor,1657,1250.0,"6-player co-op survival horror at its finest! Free updates, free special events and a ridiculous amount of fun!",https://steamcdn-a.akamaihd.net/steam/apps/1250/header.jpg?t=1551468074,https://store.steampowered.com/app/1250/Killing_Floor/
36,Company of Heroes,636,228200.0,"Delivering a visceral WWII gaming experience, Company of Heroes redefines RTS by bringing the sacrifice of heroic soldiers, war-ravaged environments, and dynamic battlefields to life. Please visit the &quot;Company of Heroes - Legacy Edition&quot; page for additional user reviews.",https://steamcdn-a.akamaihd.net/steam/apps/228200/header.jpg?t=1521736892,https://store.steampowered.com/app/228200/Company_of_Heroes/
37,Bastion,292,107100.0,"Discover the secrets of the Calamity, a surreal catastrophe that shattered the world to pieces.",https://steamcdn-a.akamaihd.net/steam/apps/107100/header.jpg?t=1553807612,https://store.steampowered.com/app/107100/Bastion/
38,Undertale,3334,391540.0,UNDERTALE! The RPG game where you don't have to destroy anyone.,https://steamcdn-a.akamaihd.net/steam/apps/391540/header.jpg?t=1503525486,https://store.steampowered.com/app/391540/Undertale/
40,Orcs Must Die!,2131,102600.0,"Slice them, burn them, skewer them, and launch them - no matter how you get it done, orcs must die in this fantasy action-strategy game from Robot Entertainment. As a powerful War Mage with dozens of deadly weapons, spells, and traps at your fingertips, defend twenty-four fortresses from a rampaging mob of beastly enemies, including...",https://steamcdn-a.akamaihd.net/steam/apps/102600/header.jpg?t=1537484197,https://store.steampowered.com/app/102600/Orcs_Must_Die/
41,THE KING OF FIGHTERS XIII STEAM EDITION,2962,222940.0,"“THE KING OF FIGHTERS XIII”, SNK PLAYMORE’s flagship 2D versus fighting title returns in an ultimate version on Steam!!The many features exclusive to the console version of the game, such as the ONLINE Mode that allows you to enjoy smooth online versus matches with rivals from around the world, the Tutorial Mode which can be enjoyed by...",https://steamcdn-a.akamaihd.net/steam/apps/222940/header.jpg?t=1512984182,https://store.steampowered.com/app/222940/THE_KING_OF_FIGHTERS_XIII_STEAM_EDITION/
42,GUILTY GEAR XX ACCENT CORE PLUS R,1292,348550.0,"Ultimate battle action, and the epitome of the GUILTY GEAR XX series now on Steam! Bonus soundtracks included!",https://steamcdn-a.akamaihd.net/steam/apps/348550/header.jpg?t=1467361839,https://store.steampowered.com/app/348550/GUILTY_GEAR_XX_ACCENT_CORE_PLUS_R/
43,Skullgirls,2717,245170.0,Skullgirls is a fast-paced 2-D fighting game that puts players in control of fierce warriors in an extraordinary Dark Deco world. Featuring all-new game systems which test the skills of veteran fighting game fans while also making the genre enjoyable and accessible to newcomers.,https://steamcdn-a.akamaihd.net/steam/apps/245170/header.jpg?t=1516345108,https://store.steampowered.com/app/245170/Skullgirls/
46,Grand Theft Auto V,1374,271590.0,"Los Santos is a city of bright lights, long nights and dirty secrets, and they don’t come brighter, longer or dirtier than in GTA Online: After Hours. The party starts now.",https://steamcdn-a.akamaihd.net/steam/apps/271590/header.jpg?t=1544815097,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/
47,Insurgency,1587,222880.0,"Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience.",https://steamcdn-a.akamaihd.net/steam/apps/222880/header.jpg?t=1545400388,https://store.steampowered.com/app/222880/Insurgency/
52,Far Cry 3,1170,220240.0,Discover the dark secrets of a lawless island ruled by violence and take the fight to the enemy as you try to escape. You’ll need more than luck to escape alive!,https://steamcdn-a.akamaihd.net/steam/apps/220240/header.jpg?t=1550250603,https://store.steampowered.com/app/220240/Far_Cry_3/
